,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,0.021021357,0.123845936,0.069933618,-0.013337229,-0.007571904,-0.026890489,0.027822334,-0.043971937,-0.004957006,0.066769512,0.003498756,0.083720535,0.006908546,-0.039541321,-0.027959688,0.009635298,-0.009832664,0.000379111,0.267602833,0.016852828,-0.13168551,-0.076750776,0.038879004,0.067455993,-0.005358261,-0.016668424,-0.012015537,0.058723374,-0.029622098,0.070114023,0.021070448,-0.015631622,-0.043377273,0.074638295,0.005994865,-0.01735901,1.461648736,225.2055972,condition1_3_3_3_1
condition1,-0.064803044,0.06663091,0.020813787,0.004810069,0.02451071,-0.031479599,-0.017304123,-0.014992674,-0.032660706,-0.045245474,0.05533416,0.037946074,-0.027756288,-0.042603206,0.07025426,-0.020127594,0.020655152,-0.002858043,0.250970147,-0.041717369,-0.091926785,0.039439267,0.036674221,-0.130085989,0.021223101,0.055554162,0.028421814,-0.022656329,0.026915661,-0.036970056,-0.011022368,0.075566009,0.002240548,-0.071846112,-0.022037245,0.025936009,1.335233129,210.4247874,condition1_3_2_8_0
condition1,0.142908279,0.097237016,0.024040893,0.044792568,0.050097028,-0.008988461,-0.018326376,-0.017536675,-0.015600983,0.141282014,0.042734574,0.07180306,-0.03063105,-0.030191656,0.032613667,0.010037668,-0.021266744,0.007442065,0.174726187,0.018027414,-0.155332309,0.035413147,-0.014765908,-0.033615264,0.00550293,0.023777775,-0.019011368,0.173048775,-0.044343088,-0.051937696,0.031154523,0.075557144,-0.019810416,-0.054705413,0.029394754,0.01246672,1.736181785,187.9809047,condition1_3_2_8_1
condition1,0.034261605,0.137867769,-0.019847849,-0.009436957,0.028698756,-0.016677753,-0.003508753,-0.031028112,0.018535468,-0.020962858,0.00180785,0.06253834,-0.059403939,-0.00461728,0.026294357,0.024487567,0.009326533,-0.008924329,0.364515797,-0.044612525,-0.078056744,0.058459274,0.026225513,-0.053006603,0.024749323,0.038773234,-0.041266587,0.034540742,0.017795692,-0.094521753,0.039820308,0.048417889,-0.009160795,-0.042344947,0.061286828,0.034691301,1.472313153,222.3403261,condition1_3_2_8_2
condition1,-0.059398449,-0.056707787,-0.00097422,0.003320699,0.002590742,-0.002323643,0.000615215,-0.016024163,0.013563997,0.208748823,0.078964973,0.040839673,0.024134365,-0.04623662,-0.012902092,-0.016293002,-0.030676297,-0.014749188,0.161381887,0.024464354,-0.046198055,0.006020395,0.038026561,0.031858206,-0.007201413,-0.02587062,0.013911138,0.022968612,-0.16636019,-0.003686779,0.048532284,-0.006147079,0.015160131,-0.000918051,0.014060238,0.010474056,1.601531161,201.0616904,condition1_3_2_1_0
condition1,0.078824814,0.070829051,0.019708547,0.026027036,0.015476768,0.016753671,-0.010273454,-0.00552325,0.003551363,0.134307364,0.064525298,0.026848016,0.011073606,-0.013178277,0.023344765,-0.002473385,0.007317518,-0.005858389,0.184479244,-0.077897342,-0.109522853,-0.027698427,0.054355382,-0.004968894,-0.015336986,0.025669794,0.025634978,-0.106997542,-0.107117562,0.045710967,0.040495992,-0.026328452,0.011320922,0.014641949,-0.011062892,-0.007586643,1.417187095,237.7840182,condition1_3_2_1_1
condition1,0.11315372,0.113910527,-0.065805977,0.015779708,0.018603537,0.069223194,0.009990333,0.003309267,0.010327831,0.069186381,-0.021205055,0.061632191,0.017956857,-0.063721514,0.016955907,0.017897928,0.002847844,0.019431221,0.246824031,-0.011383432,-0.133408481,0.03185436,0.043086696,-0.073161097,-0.054434822,-0.000685279,-0.010151207,-0.057769062,-0.001198382,-0.041669718,0.020771621,0.081451143,0.064017918,-0.007123349,-0.000447027,0.021894844,1.432542829,244.2787817,condition1_3_2_1_2
condition1,0.141273096,-0.014451154,-0.021968943,-0.003564349,0.014789352,-0.022290377,-0.010807374,0.001514701,-0.005036333,0.199152613,0.031439604,-0.018892524,0.023657915,-0.010224001,0.02353875,-0.016480745,0.030512803,-0.033088453,0.056560883,0.001843795,-0.005496678,-0.054330651,0.03779351,-0.012313529,0.018848374,-0.012989072,0.001600734,0.112562314,-0.094029332,-0.006766693,0.009792205,0.011277191,0.010065701,0.011861244,-0.034115645,-0.004974348,1.35480298,248.3503463,condition1_3_2_6_1
condition1,-0.159366796,0.122007796,0.057658784,0.029025022,-0.004855712,0.012299735,0.01427591,-0.01655673,-0.017388818,0.044607938,0.056495096,0.104856969,0.013071645,-0.0350774,-0.014497682,-0.010886293,-0.012006837,-0.008863115,0.251356954,0.103555956,-0.160995021,-0.071866708,-0.016009921,-0.010488374,0.00181333,0.011098033,0.032187817,-0.113870691,0.171126073,0.151540515,0.002037868,-0.053318926,-0.00469842,-0.001366587,-0.013825077,0.017249914,1.402673563,213.1035447,condition1_3_2_6_2
condition1,0.215342855,0.087573523,0.008326297,0.125080469,-0.066371254,-0.042310113,0.014215811,0.008635469,-0.000278306,-0.011079745,0.08346464,-0.114194067,0.047254831,0.030936997,-0.012276978,0.025766458,0.003340035,0.005379901,0.40132912,-0.130469578,0.017774486,-0.105279216,0.064138466,-0.01656818,0.01096982,0.019089601,-0.019919901,0.139181787,-0.170762991,0.124177255,0.045578979,-0.078539492,-0.034858609,-0.041517689,0.040402129,-0.003352467,1.560111747,199.5249474,condition1_3_2_6_3
condition1,0.041677332,0.006175247,0.045296342,0.005867971,0.005663282,-0.011513972,-0.0365718,0.019041635,-0.012167571,0.190982256,0.014354046,0.046195125,-0.02798019,-0.036433003,0.024871674,-0.027156023,0.002877466,-0.00494555,0.108732629,0.011156035,-0.133817441,-0.007719905,-0.016825049,-0.001427497,0.000875524,0.001173978,0.006960436,0.037928089,-0.134282208,-0.083087588,0.022790864,0.028729372,-0.007773452,-0.01514105,0.02125206,-0.020559974,1.795725399,177.8072991,condition1_3_2_10_2
condition1,-0.049898265,0.214505432,0.0127092,-0.008086658,0.007975374,0.010688979,-0.014003836,-0.029183891,0.018051005,0.032964964,0.010047871,0.119547333,-0.000673639,-0.033447962,-0.000352622,0.028888936,-0.022257337,-0.000520897,0.308624098,0.016254515,-0.196805714,-0.06344885,0.08386563,0.053830024,-0.004634047,-0.052945807,0.01570045,-0.050504213,0.086740493,0.084275428,-0.039573214,-0.049183118,0.043457726,0.067869703,0.008209878,-0.017334831,1.551685312,182.8198578,condition1_3_2_10_0
condition1,-0.015558948,-0.005858159,-0.008711491,0.088216367,-0.033886328,0.025990972,0.042448714,-0.01231149,0.007016781,0.296887978,0.088215882,0.050484825,0.025737045,0.025139803,-0.038736216,-5.60E-05,0.002264041,-0.026149135,0.114499858,-0.098345428,-0.038537141,-0.01198367,-0.009164442,0.083881285,-0.014520828,-0.005331754,-0.014621643,0.050318553,-0.086664689,-0.006309938,-0.025437525,-0.031384244,0.022035165,0.044231372,0.004344604,-0.015184354,1.906655923,178.3862857,condition1_3_2_10_1
condition1,-0.065556501,0.093236643,0.01595228,0.025522106,-0.01014352,-0.011445907,0.021539975,0.018464358,-0.006959887,0.05234975,0.033661882,0.06707151,-0.021886648,-0.027815552,-0.013314792,0.020438289,-0.002586387,-0.005526758,0.114694335,-0.016704306,-0.04510665,0.044917634,-0.00542651,-0.014012114,0.034217265,-0.032967556,-0.01699167,-0.11084924,0.047384671,0.012931243,0.060706771,-0.021346127,-0.024428099,0.03140528,0.026697855,-0.00677505,1.287393763,241.8362254,condition1_3_2_7_2
condition1,0.140362131,0.158959162,-0.043651575,-0.060438568,0.046125119,-0.017005235,-0.030007434,0.021171708,0.004396166,-0.06157045,-0.125149852,0.061266508,-0.061095612,-0.110335219,-0.020121649,0.032716673,-0.036046871,-0.001737612,0.409719712,0.016995827,-0.208857919,0.002364492,0.104604569,0.079145838,0.002443339,-0.001972292,0.014223235,-0.03399126,-0.035977822,-0.003951333,-0.040349514,-0.060331557,-0.00692245,0.063053201,0.01411884,-0.028962598,1.35664255,218.7058541,condition1_3_2_7_1
