,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,0.005102824,0.069702494,-0.001125623,0.039116305,0.009824954,-0.027734626,-0.018466089,0.005487252,-0.013838198,0.068564011,0.016312759,0.016594739,0.034352863,-0.033963483,0.010782,-0.002817948,-0.000689101,-0.021868737,0.123672277,0.048654382,-0.070904303,-0.038536459,0.025070872,-0.016545049,-0.023748608,-0.002878963,0.024010451,0.037770513,-0.018022876,0.002802462,0.019880473,0.014000381,0.004729034,-0.004614913,-0.000659582,0.001072787,1.341863428,267.161,condition1_3_3_2_0
condition1,0.055851015,0.04581018,0.027485589,0.086704854,-0.050324591,-0.018537129,-0.00078265,-0.006555691,0.029912577,-0.21586358,-0.060163194,-0.106842955,0.027796197,0.03401062,-0.012466834,0.01048076,0.026040405,-0.033342213,0.579157035,0.228759268,0.169252932,-0.067936659,-0.002041455,-0.022865424,-0.114465477,0.00437283,0.000713348,0.013649484,-0.203024617,0.01850364,0.221820316,0.025454483,0.075663332,-0.064470038,-0.061650767,0.028549104,1.425910362,209.7953717,condition1_3_3_2_1
condition1,-0.206353994,0.111018872,0.193033796,0.087659924,0.023174851,-0.03796503,0.000119109,-0.018810957,-0.0239312,-0.093213433,-0.131104393,-0.073530621,-0.03250851,0.017994128,0.090051568,0.048550107,0.004570811,-0.057278282,0.353070094,0.049478639,0.023921628,0.049934219,0.034511486,0.011795667,-0.022395848,-0.026681111,-0.005467678,-0.316485361,-0.130890183,0.062262905,0.05335615,0.080353528,0.028914726,0.026325347,0.011034158,0.023451425,1.349164948,231.0758495,condition1_3_3_2_2
condition1,0.098058082,0.172749983,0.061184406,0.109699266,-0.001372782,-0.005897913,0.021819718,-0.019915316,0.045831744,-0.204798045,0.067365976,-0.014665917,-0.059949468,-0.004195654,0.002830511,-0.003194037,-0.040013826,-0.002951573,0.583570658,-0.160913294,-0.094220551,0.143037241,-0.105045733,-0.073232984,0.041405816,0.029282133,0.074145272,0.095995443,0.051765583,-0.152634402,0.237604757,0.103624377,-0.124494122,-0.053723766,-0.026383834,0.014872888,1.34429472,221.9558946,condition1_3_3_3_3
condition1,-0.034989374,0.14894828,0.092998753,-0.004921858,-0.015104825,0.012733587,0.013837794,-0.046994104,-0.003817409,0.024268258,-0.051413529,0.066583796,0.026395947,-0.021990411,0.004114665,0.012745317,0.005156536,-0.017140081,0.337165877,0.119873939,-0.186409502,-0.053539812,0.018320494,0.054610577,0.005544219,-0.027942702,-0.004193805,-0.050095156,-0.005623604,0.084870759,0.000865363,-0.069003252,-0.00478965,0.064811343,0.057581606,-0.005768238,1.341679494,236.5754314,condition1_3_3_3_2
condition1,-0.005001694,0.008142944,0.060976995,0.204838474,0.047252548,-0.03956762,0.018636041,0.004720964,-0.027043432,-0.090554698,0.056964736,-0.146913875,-0.117887851,0.016188798,0.034510216,0.04440027,0.033687928,-0.024157249,0.482360046,-0.011029741,0.18519849,0.066519698,0.067111178,0.109324155,-0.075311013,-0.000328719,-0.033267871,-0.0891834,-0.330951157,-0.123945994,0.201868295,-0.007914058,0.074009733,0.042808542,0.004131223,0.046214166,1.519824933,185.5573795,condition1_3_3_3_1
condition1,0.036102935,0.067761756,0.022013717,0.048116761,0.023077331,-0.011076077,-0.027955728,-0.000508943,-0.006130053,0.149548758,-0.005830575,0.0702484,0.022342541,0.004018904,0.000574701,-0.004057814,-0.005688512,-0.010295473,0.309049296,0.015993577,-0.029660907,0.059386707,0.013086845,-0.023968329,-0.031483943,-0.039076769,-0.000855454,0.064017065,-0.104273847,-0.037741006,0.066449721,0.056680684,-0.006737198,0.033153882,0.010146866,-0.020786884,1.519492936,219.1193841,condition1_3_2_1_0
condition1,0.132450676,0.023227044,-0.071739019,0.069981462,0.001657097,0.0657251,-0.035391687,-0.009184559,0.037982702,0.2482001,-0.058254693,-0.05039977,0.050219136,-0.025732922,-0.031865622,0.009930606,-0.011697419,-0.013788267,0.038954886,-0.046688236,0.040725021,-0.07104098,-0.004132793,0.003696678,0.010001375,0.00692755,-0.003956078,0.189125531,-0.084849382,-0.051048034,0.030639002,-0.012033078,0.03199531,-0.052309663,0.01992799,-0.006189319,1.527319676,232.7984278,condition1_3_2_1_1
condition1,0.11321357,0.146371716,0.01424756,-0.01872787,0.065258834,3.29E-05,0.008804899,-0.012273456,0.00627233,0.096824356,-0.035019338,0.007070727,0.066694758,-0.000901719,0.013644576,0.00272929,0.004300263,0.00479891,0.243616948,0.09720476,-0.058898377,-0.024666652,0.009600063,0.015922604,0.004151696,-0.006986223,-0.017049237,0.130088565,0.008410326,-0.056253506,-0.025091584,0.053631468,-0.000337425,-0.014306069,-0.009292237,0.025142243,1.56713942,237.4223763,condition1_3_2_1_2
condition1,0.225960614,0.167920039,-0.112406004,-0.009231863,0.039837622,-0.010139898,-0.018717644,0.007355044,-0.028316506,0.151245078,-0.100103765,0.079928679,0.124290011,-0.028602832,0.009447444,0.019653979,-0.009228547,0.013561879,0.157840675,0.1488241,-0.079935135,-0.069856476,0.088138613,-0.016467149,0.001515825,0.012591839,-0.021275373,0.217029272,0.087995897,-0.073753899,-0.003255543,0.023625618,-0.015900347,-0.005071387,-0.008870975,0.027559221,1.626978327,215.3419036,condition1_3_2_10_2
