,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,-0.008539833,0.103488946,0.020511807,0.003227957,0.001636274,-0.01062053,-0.026568836,0.003028478,-0.020619151,0.064706854,-0.016284391,0.081325732,0.048277086,-0.046509068,-0.047566654,-0.017752942,-0.000147207,-0.010590838,0.220559146,0.027949428,-0.137341107,-0.080798556,0.030071302,0.051288737,0.025552285,-0.020851419,-0.015799251,-0.000900127,-0.004068131,0.04524652,-0.011504747,-0.047095789,-0.033420362,0.006872505,0.041826783,-0.014373478,1.4949528,135.0124683,condition1_3_3_v_2
condition1,0.076174936,-0.063603542,-0.000177752,-0.031631593,0.023197854,-0.02970333,0.004071072,-0.009617434,-0.013963195,0.120199579,-0.016010199,0.041185689,-0.024594086,0.01143717,0.009394966,0.03600785,0.009591359,0.012140452,0.181530348,-0.031552558,-0.045616333,0.019434463,0.048685997,-0.006383227,-0.017295642,0.000803267,0.00731503,-0.012546824,-0.123779917,0.030300688,0.034535662,0.001324962,-0.01909445,0.002298462,-0.007518743,-0.0095687,1.553061792,92.78621045,condition1_3_3_v_0
condition1,0.132319465,0.15915423,-0.077635188,-0.009620003,0.037214624,0.021638044,-0.053613122,0.017533625,-0.003180841,0.106935521,-0.035666091,0.031240941,0.001515051,-0.045556952,0.03139125,0.020864208,0.006773831,-0.010729792,0.316097237,-0.084321992,-0.140931439,0.078226812,0.007963278,-0.063495566,0.017447648,-0.011215805,-0.011563004,0.12764982,-0.108615587,-0.095245926,0.052399662,0.098454678,-0.069138708,-0.026980375,0.037730042,-0.008364795,1.911914953,100.0428639,condition1_3_3_v_1
condition1,0.05740146,-0.034903631,0.019819609,0.068732972,-0.019417441,0.010230062,0.011901796,0.0193589,0.014999992,0.128199314,-0.037314384,0.019920985,0.058011307,-0.020794309,-0.019470257,0.014202039,-0.035398487,0.007855473,0.148598063,-0.012107132,-0.082135148,-0.043365165,0.001473917,-0.001709927,0.006840551,0.022971869,-0.031137305,-0.01612379,-0.122207476,0.055638908,0.04220624,-0.086215433,0.019450163,-0.017833924,0.031228855,0.029025209,1.694263719,120.9207954,condition1_3_3_ii_2
condition1,-0.068445838,-0.048524107,-0.002934874,0.004347868,0.016998649,-0.001741472,0.028279871,0.014416639,0.019325791,0.096356393,-0.031749614,-0.035183531,-0.025246205,-0.024057422,-0.016682854,0.000808665,0.018660288,0.00199668,0.091826499,0.007830157,-0.03894756,-0.010996687,0.018509173,0.011074657,-0.008860266,0.00344285,0.022212844,-0.059782212,-0.121802734,-0.000460313,0.052437262,-0.006309843,-0.022376176,-0.004937383,-0.00643686,-0.004819695,1.453294754,98.04898518,condition1_3_3_ii_0
condition1,0.069362467,0.092188568,-0.023047354,0.006295832,0.022812053,-0.030990525,0.015108842,-0.012564492,0.010927445,0.223230164,-0.02883299,0.002604289,0.046507446,-0.030452342,-0.018372707,0.009900026,0.014615486,-0.010062022,0.165198893,-0.015617715,-0.088594291,-0.020461407,0.040124719,-0.019733104,-0.015807029,0.012468511,0.012610349,0.070492301,-0.137016679,-0.00186104,0.074573973,-0.007100003,-0.004056528,-0.018142108,0.00378446,-0.00749143,1.773532538,110.0437515,condition1_3_3_ii_1
condition1,0.019595273,0.162110784,-0.047933348,0.055352177,0.018067865,0.001022184,0.003698537,-0.007779574,-0.020611654,-0.148222497,0.073086,0.093578358,0.017649561,-0.013707592,-0.058400498,-0.015062168,0.017544913,-0.000248627,0.44714913,-0.090852116,-0.201983079,0.099051327,0.048446402,-0.026906893,0.013654659,0.002082503,-0.007959307,0.144402985,0.197370955,-0.152898436,-0.066376286,0.073491372,0.011106651,-0.015520977,-0.000506066,0.025379795,1.385452381,146.4955046,condition1_3_2_i_2
condition1,-0.03682422,0.171422067,0.026853841,-0.005711761,-0.005717837,-0.041874682,-0.005627436,0.00559869,0.027291737,-0.042102834,-0.092552193,0.01882802,0.011249933,-0.035482274,-0.023878352,0.023542746,0.009557734,0.001330229,0.368105271,0.092169362,-0.198713134,-0.06840902,0.078205277,0.059393991,0.006531202,-0.023304842,-0.008701724,-0.040525116,0.093167481,0.056109196,0.000280936,-0.064757244,0.004495384,0.059085142,0.002361377,-0.044891918,1.559267963,111.6850562,condition1_3_2_i_1
condition1,-0.082411154,0.029624569,0.012992433,0.014892083,-0.039752248,-0.01135271,-6.26E-05,0.00524881,0.009254165,0.101404175,-0.024388894,0.015350015,0.007691562,-0.005876077,-0.002837705,-0.00079041,0.00473943,0.003931341,0.145018462,0.039755704,-0.056653964,-0.03483969,-0.012275504,0.017736247,0.010150133,0.016991617,-0.000436024,0.029718899,-0.089663048,0.006024549,0.047491192,-0.011938612,-0.028058792,-0.032380692,0.016199806,0.020425056,1.372014722,117.1837551,condition1_3_2_i_0
condition1,0.11447158,0.134489456,-0.142332289,0.034393159,0.017395986,-0.048097058,-0.02395281,0.016134927,0.021506831,0.020845689,0.103659518,0.083333442,-0.009537158,0.018970518,0.013060808,-0.034234871,0.01421363,0.022496433,0.296260453,-0.127779286,-0.100484589,0.035207692,-0.053229993,0.044425766,0.028949983,-0.023762135,0.031621498,0.083904734,-0.112756185,-0.149525755,0.128174673,-0.018917706,-0.083892074,0.031655698,0.011719484,-0.015093424,1.801407062,114.1313971,condition1_3_2_ii_2
