,coef1,coef2,coef3,coef4,coef5,coef6,coef7,coef8,coef9,coef10,coef11,coef12,coef13,coef14,coef15,coef16,coef17,coef18,coef19,coef20,coef21,coef22,coef23,coef24,coef25,coef26,coef27,coef28,coef29,coef30,coef31,coef32,coef33,coef34,coef35,coef36,coef37,coef38,name
condition1,0.028647798,0.034373672,-0.032465562,0.076577091,0.054578653,0.031340695,0.037350835,0.022753179,0.023125331,-0.129319806,0.007372827,-0.086499506,-0.054349417,-0.02661015,-0.04056416,0.005620828,0.006153497,-0.007663959,0.460356225,-0.07768812,-0.006523657,0.131402937,-0.018687001,0.036572515,0.055136337,-0.007048224,0.018709105,-0.019551806,-0.09602925,-0.122933445,0.121925404,0.000436554,-0.053325382,0.09781907,0.031222319,0.005853576,1.338216906,195.2583222,condition1_3_2_6_2
condition1,0.03071046,0.182477628,-0.081438856,0.030940001,0.061713656,0.010522057,-0.026545598,-0.005504712,0.011833403,-0.177403149,0.070548848,0.019923555,-0.013315062,-0.008472287,-0.023103434,0.025475412,0.008421576,-0.02393392,0.317095626,-0.147505184,0.002527934,0.07072694,-0.103105156,-0.01704758,0.001628866,0.003134973,0.044309286,0.250514935,0.126099612,-0.18962439,0.156361931,0.069116694,-0.066421176,-0.00765533,-0.017904895,-0.031558259,1.306184158,168.6697649,condition1_3_2_7_2
condition1,0.008568589,0.041913088,0.040327865,0.023916872,-0.056919837,0.0174833,0.022782959,0.025021963,-0.001670195,0.069371404,-0.000586169,0.062718907,0.051994159,-0.000936283,-0.005875775,0.0184346,-0.000270215,0.009043031,0.221891359,0.008153211,-0.11625626,-0.078124656,0.012807027,0.007736455,-0.012984141,-0.035389588,-0.025114761,-0.030195793,-0.071786621,0.028452723,0.017715644,-0.043106209,-0.011719646,0.042199111,0.041187561,-0.01082003,1.488850152,184.585464,condition1_3_2_7_1
condition1,-0.108142138,0.111799065,-0.026448232,0.045751279,0.047367974,-0.016461801,-0.023819269,-0.01020312,-0.012275185,-0.119751935,0.046352382,0.086411078,0.012286641,0.005842573,-0.025275952,-0.009304379,-0.006099168,-0.002364099,0.313513653,-0.009392487,-0.106200692,0.032254344,-0.014928534,-0.070975428,-0.000938928,0.064548922,0.007799815,0.044973013,0.092441631,-0.13369191,0.034999386,0.138884852,-0.010739971,-0.079714858,0.019752726,0.006356208,1.474609804,185.3261989,condition1_3_2_7_0
condition1,-0.080650392,-0.001996342,0.030003649,0.027442288,-0.002474248,0.031733143,0.016292179,-0.006701545,-0.004194996,0.163641259,-0.007020786,0.080003489,0.005432282,-0.037455973,0.00740837,-0.00293187,-0.006236213,-0.014568877,0.016697224,0.054544106,-0.119799314,0.028309099,0.007319436,0.01605885,-0.008869742,-0.041432432,-0.008967371,0.021328293,-0.07283429,0.024442447,-0.00715353,-0.006696071,0.021366595,-0.001519177,0.008325999,-0.014967967,1.433980658,204.4553984,condition1_3_3_6_1
condition1,0.093237103,-0.014354698,0.012539827,-0.015812771,0.027902512,-0.001649193,-0.004837909,0.012519557,0.023171649,0.184737402,0.041640798,-0.002194435,0.016713062,-0.032306607,-0.007808995,0.018022443,-0.008314217,-0.013355578,0.108337854,-0.007428461,-0.05888811,0.01402526,0.004374782,-0.014815978,-0.033220046,0.0031268,0.008300039,0.107429989,-0.114534813,-0.031242071,0.012968699,0.040515528,-0.013308148,0.005438165,0.008217653,0.012119823,1.380663838,173.965754,condition1_3_3_6_0
condition1,-0.006856613,0.130482186,-0.087533273,0.067016884,-0.030024428,-0.047817112,0.000112945,0.01081139,-0.013367718,-0.197774164,0.020957638,0.022549721,-0.018768797,-0.005146327,0.02357641,0.010948618,0.003252809,-0.019155488,0.57120479,-0.112405278,-0.145867996,0.108641512,0.049097515,-0.073476003,-0.010088037,0.031487786,0.04103923,-0.016176192,0.068631885,-0.091498789,-0.017965597,0.025130105,-0.007090647,-0.041808488,-0.017853216,0.007962159,1.318021215,190.6676577,condition1_3_3_6_2
condition1,-0.090441809,0.097731112,0.03741392,0.039373941,-0.01637501,-0.019796776,-0.019583889,0.001107529,0.004690946,0.016252525,-0.095434989,0.018899942,0.044273863,0.000558296,-0.009735662,-0.027293568,0.008630044,0.023082742,0.141961156,0.164926782,-0.001368054,-0.053458338,-0.054008573,0.010820682,0.019961072,0.029136664,0.019564191,-0.005404656,0.021004321,0.028064781,0.06432348,0.009664758,-0.023443999,-0.034440484,0.008292078,0.01091484,1.167127333,200.5988256,condition1_3_3_8_0
condition1,-0.061975663,0.153813427,0.111932396,0.032388415,0.01898531,-0.022977225,0.022477839,-0.017320602,-0.012943386,-0.095650225,-0.105552074,0.03102095,0.054090398,-0.067800668,-0.014323004,0.000877003,0.007269321,0.033741671,0.397616654,0.309659008,-0.001277017,-0.106537524,-0.074427048,-0.026993373,0.022778806,-0.013967734,0.010059119,-0.139633085,0.014204343,0.15892581,0.129953342,0.051766956,-0.042299065,-0.002194668,-0.009123992,-0.01480032,1.379334506,191.1725846,condition1_3_3_8_1
condition1,-0.076409443,0.093215403,0.032349425,-0.005144663,-0.018256433,0.018139788,0.007679809,-0.029061604,-0.018011341,-0.121370928,-0.080609198,0.040479131,0.053552872,-0.022636996,-0.020599245,-0.02288705,0.025359718,0.017978523,0.274307009,0.26540288,-0.060515157,-0.126037761,-0.034854422,0.022148878,0.067597408,0.028806046,-0.017705618,-0.007890998,0.10402289,0.061507581,0.060775299,-0.021539269,-0.064802997,0.000410072,0.034019834,0.013381766,1.233912997,207.4814287,condition1_3_3_8_2
